MCS,ft0,st0,e0,ft1,st1,e1
589,-0.0,50.48130711225921,47.957241756646255,-16.8,53.15882290176508,49.66088175667683
591,-0.0,50.48130711225921,47.957241756646255,-16.8,53.15882290176508,49.66088175667683
597,-0.0,42.826716266309106,40.685380452993655,-16.8,53.15882290176508,49.66088175667683
613,-0.0,42.826716266309106,40.685380452993655,-16.8,53.15882290176508,49.66088175667683
614,-6.32,42.826716266309106,40.36938045299365,-10.48,51.43104370608062,48.33549152077659
630,-6.32,42.826716266309106,40.36938045299365,-10.280000000000001,45.54370411797678,42.752518912077946
638,-6.32,42.826716266309106,40.36938045299365,-9.48,45.60535668362878,42.85108884944734
644,-6.32,42.826716266309106,40.36938045299365,-10.280000000000001,40.85914879211689,38.302191352511045
647,-6.32,44.857454192728,42.2985814830916,-10.280000000000001,40.85914879211689,38.302191352511045
651,-6.853333333333335,43.79191354727839,41.259651203247806,-10.546666666666667,40.85914879211689,38.28885801917772
652,-0.4,43.79191354727839,41.58231786991447,-1.2,44.00633777489723,41.74602088615237
655,-0.5333333333333333,47.46698544553388,45.066969506590524,-1.0666666666666667,44.00633777489723,41.75268755281904
661,-0.5333333333333333,39.83011592547553,37.8119434625351,-1.0666666666666667,44.00633777489723,41.75268755281904
664,-0.5333333333333333,39.83011592547553,37.8119434625351,-1.0666666666666667,43.993696941796586,41.740678761373424
670,-0.5333333333333333,39.83011592547553,37.8119434625351,-1.0666666666666667,41.80671220190275,39.66304325847428
675,-0.5333333333333333,37.85089013223338,35.931678958955054,-1.0666666666666667,41.80671220190275,39.66304325847428
694,-0.5333333333333333,37.85089013223338,35.931678958955054,-1.0666666666666667,41.80671220190275,39.66304325847428
706,-0.5333333333333333,37.85089013223338,35.931678958955054,-1.0666666666666667,41.80671220190275,39.66304325847428
721,-0.5333333333333333,37.85089013223338,35.931678958955054,-1.0666666666666667,41.80671220190275,39.66304325847428
724,-0.5333333333333333,37.85089013223338,35.931678958955054,-1.0666666666666667,39.87449144539018,37.827433539787336
726,-0.5333333333333333,37.85089013223338,35.931678958955054,-1.0666666666666667,41.97208141860356,39.82014401434005
729,-0.5333333333333333,37.85089013223338,35.931678958955054,-1.0666666666666667,41.97208141860356,39.82014401434005
734,-0.0,37.85089013223338,35.95834562562172,-0.0,47.510090224437576,45.1345857132157
738,-0.5333333333333333,37.85089013223338,35.931678958955054,-1.8666666666666667,49.286754224333215,46.729083179783224
743,-0.34285714285714286,38.87910585112681,36.91800770142761,-1.8571428571428568,49.286754224333215,46.729559370259416
751,-0.34285714285714286,38.87910585112681,36.91800770142761,-1.8571428571428568,49.286754224333215,46.729559370259416
755,-0.34285714285714286,41.1028255751326,39.03054143923311,-1.8571428571428568,49.286754224333215,46.729559370259416
757,-0.0,40.92391065432222,38.877715121606116,-1.5999999999999999,49.286754224333215,46.74241651311656
761,-0.0,40.92391065432222,38.877715121606116,-1.5999999999999999,49.286754224333215,46.74241651311656
763,-0.0,40.92391065432222,38.877715121606116,-1.5999999999999999,49.286754224333215,46.74241651311656
764,-0.0,40.92391065432222,38.877715121606116,-1.5999999999999999,49.25355392020762,46.71087622419724
768,-0.0,40.92391065432222,38.877715121606116,-0.6,53.28132742676187,50.58726105542378
774,-0.0,40.92391065432222,38.877715121606116,-0.6,57.16236926923633,54.274250805774514
775,-0.0,45.56234104301639,43.28422399086557,-0.6,57.16236926923633,54.274250805774514
776,-0.0,45.56234104301639,43.28422399086557,-0.6,53.28132742676187,50.58726105542378
777,-0.0,45.49921602524652,43.224255223984194,-0.6,53.28132742676187,50.58726105542378
779,-0.42,46.574205811189316,44.22449552062985,-0.78,53.28132742676187,50.57826105542378
781,-0.42,46.574205811189316,44.22449552062985,-0.78,53.28132742676187,50.57826105542378
784,-0.525,46.574205811189316,44.219245520629855,-0.6749999999999999,49.44238179438084,46.93651270466181
788,-0.525,46.574205811189316,44.219245520629855,-0.6749999999999999,54.55404663140023,51.79259429983023
789,-0.525,46.619695792119714,44.26246100251373,-0.6749999999999999,54.55404663140023,51.79259429983023
794,-0.525,46.619695792119714,44.26246100251373,-0.6749999999999999,49.475582098506436,46.96805299358112
797,-0.525,46.619695792119714,44.26246100251373,-0.6749999999999999,49.475582098506436,46.96805299358112
798,-0.525,46.619695792119714,44.26246100251373,-0.6749999999999999,49.475582098506436,46.96805299358112
801,-0.525,46.619695792119714,44.26246100251373,-0.6749999999999999,49.475582098506436,46.96805299358112
805,-0.525,44.52647339980631,42.273899729815994,-0.6749999999999999,49.475582098506436,46.96805299358112
