run_id,lambda,seed,fitness,cost,cost_norm,passenger_service,passenger_service_norm,service,service_norm,is_pareto,pareto_label,best_individual,line_edges_count
67,0.8,44,0.11200079349478738,14.580453739792237,0.006671484047304986,874.7554408448533,0.586689903663157,874.7554408448533,0.586689903663157,True,,"[361, 343, 325, 385, 367, 307]",15
68,0.8,45,0.11930034727666126,16.87228386799967,0.02174023467552929,1019.0437740830974,0.6834626750854236,1019.0437740830974,0.6834626750854236,True,,"[67, 43, 61, 121, 181, 241]",17
69,0.85,42,0.08233272410926432,14.580453739792237,0.006671484047304986,874.7554408448533,0.586689903663157,874.7554408448533,0.586689903663157,True,,"[361, 343, 325, 385, 367, 307]",15
70,0.85,43,0.08216043589760688,14.86491375932468,0.008541804646234745,888.8452475581846,0.596139798979376,888.8452475581846,0.596139798979376,False,,"[67, 85, 25, 43, 61, 121]",15
71,0.85,44,0.07866557882074515,15.603055501328708,0.013395076143822396,895.1116647886736,0.6003426236199612,895.1116647886736,0.6003426236199612,False,,"[265, 247, 187, 229, 211, 193]",16
72,0.85,45,0.08591704625817412,14.81838392799541,0.008235871664359464,923.6011583448766,0.6194502478191977,923.6011583448766,0.6194502478191977,True,,"[43, 61, 121, 103, 85, 67]",15
73,0.9,42,0.052664654723741176,14.58045373979224,0.00667148404730501,874.7554408448532,0.586689903663157,874.7554408448532,0.586689903663157,False,,"[307, 367, 385, 325, 343, 361]",15
74,0.9,43,0.04797869383255595,15.603055501328708,0.013395076143822396,895.1116647886736,0.6003426236199612,895.1116647886736,0.6003426236199612,False,,"[265, 247, 187, 229, 211, 193]",16
75,0.9,44,0.04797869383255595,15.603055501328708,0.013395076143822396,895.1116647886736,0.6003426236199612,895.1116647886736,0.6003426236199612,False,,"[265, 247, 187, 229, 211, 193]",16
76,0.9,45,0.05453274028399623,14.81838392799541,0.008235871664359464,923.6011583448766,0.6194502478191977,923.6011583448766,0.6194502478191977,True,,"[43, 61, 121, 103, 85, 67]",15
77,0.95,42,0.022996585338218117,14.58045373979224,0.00667148404730501,874.7554408448532,0.586689903663157,874.7554408448532,0.586689903663157,False,,"[307, 367, 385, 325, 343, 361]",15
78,0.95,43,0.020839929867505193,14.229403900815385,0.004363336328801089,745.0563401934961,0.49970198759732404,745.0563401934961,0.49970198759732404,True,,"[19, 37, 55, 115, 175, 157]",15
79,0.95,44,0.020205537818051542,14.657762109388514,0.007179785482294877,805.9260126320515,0.540526680524633,805.9260126320515,0.540526680524633,False,,"[127, 187, 247, 229, 211, 193]",15
80,0.95,45,0.019654979817224492,14.67027128541347,0.007262033137461214,791.8383540756982,0.5310782259562524,791.8383540756982,0.5310782259562524,False,,"[43, 103, 85, 67, 49, 31]",15
81,1.0,42,-0.0040190614199737155,14.177042585142765,0.0040190614199737155,537.9410177230429,0.36079177005126895,537.9410177230429,0.36079177005126895,True,K_A,"[289, 271, 211, 229, 247, 187]",15
82,1.0,43,-0.0040190614199737155,14.177042585142765,0.0040190614199737155,537.9410177230429,0.36079177005126895,537.9410177230429,0.36079177005126895,True,,"[289, 271, 211, 229, 247, 187]",15
83,1.0,44,-0.0040190614199737155,14.177042585142765,0.0040190614199737155,537.9410177230429,0.36079177005126895,537.9410177230429,0.36079177005126895,True,,"[289, 271, 211, 229, 247, 187]",15
84,1.0,45,-0.0040190614199737155,14.177042585142765,0.0040190614199737155,537.9410177230429,0.36079177005126895,537.9410177230429,0.36079177005126895,True,,"[289, 271, 211, 229, 247, 187]",15
